x,x,sv,x,x,x,x,x,x,x,x,x
x,x,v,x,x,x,x,x,x,x,x,x
x,x,v,t,x,x,x,x,x,x,x,x
x,x,v,x,x,x,x,x,x,x,x,x
x,x,v,x,x,x,x,x,t,t,x,x
x,x,ru,h,h,h,h,h,h,ld,t,x
x,x,x,t,x,x,x,x,x,ru,ld,x
x,x,x,x,x,x,x,x,x,x,v,x
x,x,x,t,x,rd,h,h,h,h,lu,x
x,rd,h,h,h,lu,x,t,x,x,x,x
x,v,x,x,x,x,x,x,x,x,x,x
x,v,t,x,x,x,x,x,x,x,x,x
x,v,t,x,x,x,x,x,x,x,x,x
x,v,x,t,x,x,x,x,x,x,x,x
x,ru,h,h,h,ld,x,x,t,x,x,x
x,t,t,x,x,ru,h,h,h,ld,x,x
x,x,x,x,x,x,t,t,x,v,t,x
x,x,x,x,x,x,x,x,t,v,t,x
x,x,x,x,x,x,x,x,t,ru,ld,x
x,x,x,x,x,x,x,x,x,x,v,x
x,x,x,x,x,x,x,x,x,t,v,x
x,x,x,x,x,x,x,x,t,x,v,x
x,x,x,x,x,x,x,rd,h,h,lu,x
x,x,x,x,t,x,x,v,x,x,x,x
x,x,t,rd,h,h,h,lu,x,x,x,x
x,rd,h,lu,t,t,x,x,x,x,x,x
x,v,x,x,x,x,x,x,x,x,x,x
x,v,x,t,x,x,x,x,x,x,x,x
x,ru,h,h,h,ld,x,x,x,x,x,x
x,x,t,x,x,ru,h,h,h,ld,x,x
x,x,x,x,x,x,t,x,x,v,x,x
x,x,x,x,x,x,x,x,x,g,x,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,x,x,x,x,sv,x,x,x,x,x,x
x,x,x,x,x,v,x,x,x,x,x,x
x,x,x,x,x,v,x,x,x,x,x,x
x,x,x,x,x,v,x,x,x,x,x,x
x,x,x,x,x,ru,h,ld,x,x,x,x
x,x,x,x,x,x,x,v,x,x,x,x
x,x,x,x,x,x,t,v,x,x,x,x
x,x,x,x,x,x,t,v,x,x,x,x
x,x,x,x,x,x,x,v,x,x,x,x
